input_metric,output_metric,corr,abs_corr,n_obs
heat_demand_annual_mwh,load_heat_mwh,0.9997455333503074,0.9997455333503074,86
heat_demand_annual_mwh,total_annual_load_mwh,0.999745533350307,0.999745533350307,86
elec_for_heat_annual_mwh,total_annual_load_mwh,0.9985237213069721,0.9985237213069721,86
elec_for_heat_annual_mwh,load_heat_mwh,0.9985237213069719,0.9985237213069719,86
cop_annual_mean,load_heat_mwh,-0.9373918119258182,0.9373918119258182,86
cop_annual_mean,total_annual_load_mwh,-0.9373918119258177,0.9373918119258177,86
heat_demand_peak_mw,peak_load_mw,0.8854035194570801,0.8854035194570801,86
stress_peak_block,peak_load_mw,0.8837853121871688,0.8837853121871688,86
elec_for_heat_peak_mw,peak_load_mw,0.8819605057194533,0.8819605057194533,86
cf_vres_combined_annual,gen_wind_mwh,0.8590133218018643,0.8590133218018643,86
cop_winter_mean,total_annual_load_mwh,-0.7978683218588304,0.7978683218588304,86
cop_winter_mean,load_heat_mwh,-0.79786832185883,0.79786832185883,86
stress_score,load_heat_mwh,0.7940491892159821,0.7940491892159821,86
stress_score,total_annual_load_mwh,0.7940491892159817,0.7940491892159817,86
cold_stress_hours_cop_lt2,load_heat_mwh,0.772660802150619,0.772660802150619,86
cold_stress_hours_cop_lt2,total_annual_load_mwh,0.7726608021506189,0.7726608021506189,86
cop_winter_mean,peak_load_mw,-0.7636689778953278,0.7636689778953278,86
stress_energy_block,objective,0.7431641067627497,0.7431641067627497,86
cf_vres_combined_annual,curtailment_wind_offshore_mwh,0.7266949958602742,0.7266949958602742,86
cop_winter_mean,heat_pump_total_mw,-0.7209780128189214,0.7209780128189214,86
stress_energy_block,load_heat_mwh,0.7183520566342623,0.7183520566342623,86
stress_energy_block,total_annual_load_mwh,0.7183520566342617,0.7183520566342617,86
stress_score,heat_pump_total_mw,0.7122289858063078,0.7122289858063078,86
heat_demand_peak_mw,heat_pump_total_mw,0.7029222963185497,0.7029222963185497,86
stress_peak_block,heat_pump_total_mw,0.7026610125546001,0.7026610125546001,86
elec_for_heat_peak_mw,heat_pump_total_mw,0.702214376359975,0.702214376359975,86
stress_score,peak_load_mw,0.6843558002113599,0.6843558002113599,86
stress_score,objective,0.6830164249875764,0.6830164249875764,86
stress_energy_block,heat_pump_total_mw,0.6773740533054871,0.6773740533054871,86
stress_energy_block,gen_Biogas plant_mwh,0.6553685811121827,0.6553685811121827,86
